Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Rwanda,Africa,17068,131.78,1080,8.34,127,231,1.78,21,0.16,2,Community transmission
Mauritania,Africa,16777,360.82,115,2.47,0,425,9.14,3,0.06,0,Community transmission
French Guiana,Americas,16456,5509.54,160,53.57,160,80,26.78,1,0.33,1,Community transmission
Eswatini,Africa,16396,1413.25,351,30.25,55,619,53.35,28,2.41,3,Community transmission
Guinea,Africa,14828,112.91,199,1.52,37,84,0.64,0,0,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,14765,84.37,427,2.44,41,971,5.55,28,0.16,3,Community transmission
Cabo Verde,Africa,14601,2626.14,311,55.94,58,138,24.82,3,0.54,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Mayotte,Africa,12440,4559.87,2894,1060.79,657,72,26.39,9,3.3,3,Clusters of cases
Gabon,Africa,12171,546.83,1042,46.82,0,71,3.19,1,0.04,0,Community transmission
Belize,Americas,12114,3046.57,106,26.66,7,313,78.72,7,1.76,0,Community transmission
Haiti,Americas,12016,105.38,258,2.26,0,246,2.16,1,0.01,0,Community transmission
Burkina Faso,Africa,11426,54.66,373,1.78,0,134,0.64,2,0.01,0,Community transmission
Réunion,Africa,10907,1218.23,577,64.45,0,47,5.25,0,0,0,Clusters of cases
Andorra,Europe,10391,13448.52,254,328.74,39,106,137.19,3,3.88,0,Community transmission
Lesotho,Africa,9818,458.3,849,39.63,14,212,9.9,34,1.59,2,Community transmission
Guadeloupe,Americas,9302,2324.78,146,36.49,0,159,39.74,1,0.25,0,Community transmission
Suriname,Americas,8765,1494.12,170,28.98,26,166,28.3,8,1.36,2,Community transmission
Congo,Africa,8419,152.57,359,6.51,65,123,2.23,1,0.02,1,Community transmission
Bahamas,Americas,8311,2113.45,55,13.99,0,178,45.26,2,0.51,0,Clusters of cases
Mali,Africa,8218,40.58,88,0.43,15,340,1.68,7,0.03,1,Community transmission
Guyana,Americas,8135,1034.26,355,45.13,43,184,23.39,7,0.89,2,Clusters of cases
Trinidad and Tobago,Americas,7632,545.34,25,1.79,1,136,9.72,1,0.07,0,Community transmission
Guam,Western Pacific,7481,4432.53,52,30.81,3,130,77.03,1,0.59,0,Clusters of cases
Aruba,Americas,7338,6872.97,204,191.07,19,68,63.69,7,6.56,0,Community transmission
Martinique,Americas,6521,1737.71,79,21.05,0,45,11.99,0,0,0,Community transmission
Iceland,Europe,6026,1765.9,10,2.93,0,29,8.5,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,5967,603.95,26,2.63,1,63,6.38,0,0,0,Clusters of cases
Togo,Africa,5687,68.69,397,4.8,81,80,0.97,1,0.01,0,Community transmission
Equatorial Guinea,Africa,5663,403.64,129,9.19,49,87,6.2,1,0.07,0,Community transmission
Somalia,Eastern Mediterranean,5075,31.93,261,1.64,62,146,0.92,14,0.09,2,Community transmission
Nicaragua,Americas,5064,76.44,37,0.56,0,171,2.58,1,0.02,0,Community transmission
Central African Republic,Africa,4996,103.44,7,0.14,0,63,1.3,0,0,0,Community transmission
South Sudan,Africa,4960,44.31,854,7.63,0,71,0.63,6,0.05,0,Community transmission
Niger,Africa,4665,19.27,90,0.37,22,167,0.69,3,0.01,0,Community transmission
Curaçao,Americas,4633,2823.4,36,21.94,5,22,13.41,1,0.61,0,Community transmission
Benin,Africa,4560,37.61,441,3.64,0,56,0.46,2,0.02,0,Community transmission
Gambia,Africa,4302,178.01,118,4.88,0,135,5.59,3,0.12,0,Community transmission
Gibraltar,Europe,4197,12457.33,41,121.69,7,83,246.36,4,11.87,0,Clusters of cases
Sierra Leone,Africa,3813,47.8,85,1.07,10,79,0.99,0,0,0,Community transmission
Chad,Africa,3581,21.8,148,0.9,13,126,0.77,5,0.03,0,Community transmission
Comoros,Africa,3276,376.72,301,34.61,67,122,14.03,17,1.95,2,Community transmission
San Marino,Europe,3247,9567.45,122,359.48,34,72,212.15,4,11.79,1,Community transmission
Jersey,Europe,3190,2931.99,25,22.98,3,67,61.58,0,0,0,Community transmission
Guinea-Bissau,Africa,2848,144.72,155,7.88,22,46,2.34,0,0,0,Community transmission
Liechtenstein,Europe,2609,6841.13,21,55.06,2,47,123.24,1,2.62,0,Sporadic cases
United States Virgin Islands,Americas,2524,2417.05,75,71.82,19,25,23.94,1,0.96,0,Community transmission
Eritrea,Africa,2429,68.49,120,3.38,11,7,0.2,0,0,0,Community transmission
Saint Lucia,Americas,2415,1315.17,859,467.8,278,22,11.98,4,2.18,0,Community transmission
Mongolia,Western Pacific,2247,68.54,319,9.73,40,2,0.06,0,0,0,Clusters of cases
Viet Nam,Western Pacific,2142,2.2,166,0.17,2,35,0.04,0,0,0,Clusters of cases
Yemen,Eastern Mediterranean,2140,7.17,13,0.04,2,617,2.07,1,0,0,Community transmission
Sint Maarten,Americas,1985,4628.98,74,172.57,13,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,1972,40.89,13,0.27,2,25,0.52,0,0,0,Clusters of cases
Liberia,Africa,1969,38.93,24,0.47,13,84,1.66,0,0,0,Community transmission
Barbados,Americas,1904,662.55,248,86.3,47,21,7.31,3,1.04,1,Community transmission
Turks and Caicos Islands,Americas,1812,4679.99,222,573.38,28,12,30.99,3,7.75,2,Clusters of cases
Burundi,Africa,1797,15.11,99,0.83,26,3,0.03,0,0,0,Community transmission
Monaco,Europe,1735,4421.06,139,354.19,18,20,50.96,2,5.1,0,Sporadic cases
Seychelles,Africa,1695,1723.49,416,422.99,0,7,7.12,2,2.03,0,Community transmission
Sao Tome and Principe,Africa,1431,652.95,156,71.18,1,19,8.67,2,0.91,1,Community transmission
Saint Vincent and the Grenadines,Americas,1395,1257.44,225,202.81,25,6,5.41,3,2.7,0,Community transmission
Saint Martin,Americas,1377,3561.91,88,227.63,0,12,31.04,0,0,0,Community transmission
Papua New Guinea,Western Pacific,922,10.31,28,0.31,0,10,0.11,1,0.01,0,Community transmission
Bhutan,South-East Asia,863,111.84,2,0.26,2,1,0.13,0,0,0,Clusters of cases
Guernsey,Europe,760,1202.61,109,172.48,8,13,20.57,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,694,1114.45,2,3.21,0,12,19.27,0,0,0,Sporadic cases
Faroe Islands,Europe,657,1344.52,2,4.09,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,595,46.79,11,0.86,1,10,0.79,0,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cambodia,Western Pacific,479,2.87,7,0.04,0,0,0,0,0,0,Sporadic cases
Isle of Man,Europe,436,512.75,2,2.35,0,25,29.4,0,0,0,No cases
Saint Barthélemy,Americas,425,4299.44,46,465.35,0,0,0,0,0,0,Sporadic cases
Cayman Islands,Americas,411,625.38,6,9.13,3,2,3.04,0,0,0,Sporadic cases
Antigua and Barbuda,Americas,381,389.06,104,106.2,0,9,9.19,2,2.04,0,Sporadic cases
Bonaire,Americas,372,1778.63,6,28.69,3,4,19.13,1,4.78,0,Community transmission
Brunei Darussalam,Western Pacific,184,42.06,3,0.69,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,151,499.39,10,33.07,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,148,131.53,0,0,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,134,232.81,1,1.74,0,2,3.47,0,0,0,Pending
Dominica,Americas,121,168.08,0,0,0,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,101,7.66,21,1.59,1,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,56,6.25,0,0,0,2,0.22,0,0,0,Sporadic cases
New Caledonia,Western Pacific,52,18.21,3,1.05,2,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,49,1406.83,5,143.55,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0.62,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,40,75.2,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,52.84,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,Clusters of cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,19,380.08,6,120.02,0,1,20,0,0,0,Sporadic cases
Anguilla,Americas,18,119.98,1,6.67,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,1,0.15,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,9,80.03,4,35.57,0,0,0,0,0,0,Sporadic cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,3,1.51,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,0.33,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
